RegionID,SizeRank,City,RegionType,State,Metro,CountyName,Mean (2010),Mean (2020),Mean (2021(Q1)),Code,Originating Domestic Passengers 10%,Originating Domestic Passengers,AIRPORT,LATITUDE,LONGITUDE
19518,18166,Mullica Hill,City,NJ,Philadelphia-Camden-Wilmington,Gloucester County,337696.85,362927.5,391087.67,,,,,,
398651,8771,Mullica Township,City,NJ,Atlantic City-Hammonton,Atlantic County,344470.68,326007.67,343088.67,,,,,,
15621,11805,National Park,City,NJ,Philadelphia-Camden-Wilmington,Gloucester County,138171.06,146853.25,159405.33,,,,,,
26082,1787,Neptune Township,City,NJ,New York-Newark-Jersey City,Monmouth County,294765.36,356625.25,394299.33,,,,,,
39960,11995,Netcong,City,NJ,New York-Newark-Jersey City,Morris County,256167.68,281038.0,297650.33,,,,,,
39967,949,New Brunswick,City,NJ,New York-Newark-Jersey City,Middlesex County,237830.28,296365.67,317580.33,,,,,,
39972,13979,New Egypt,City,NJ,New York-Newark-Jersey City,Ocean County,320709.88,347351.42,377480.33,,,,,,
397040,15025,New Hanover Township,City,NJ,Philadelphia-Camden-Wilmington,Burlington County,240105.92,261444.33,281430.0,,,,,,
19592,3462,New Milford,City,NJ,New York-Newark-Jersey City,Bergen County,383158.92,438550.75,465420.67,,,,,,
46727,4468,New Providence,City,NJ,New York-Newark-Jersey City,Union County,581495.48,617897.25,653648.0,,,,,,
12970,82,Newark,City,NJ,New York-Newark-Jersey City,Essex County,218134.63,312527.25,343855.0,EWR,"938,695",9386950.0,Newark Intl,40.69249722,-74.16866056
19610,16151,Newfield,City,NJ,Philadelphia-Camden-Wilmington,Gloucester County,163134.12,178851.58,196357.67,,,,,,
22402,6635,Newton,City,NJ,New York-Newark-Jersey City,Sussex County,241764.06,273958.67,298884.0,,,,,,
19654,3584,North Arlington,City,NJ,New York-Newark-Jersey City,Bergen County,340727.18,412778.0,438227.67,,,,,,
40038,809,North Bergen Township,City,NJ,New York-Newark-Jersey City,Hudson County,319202.42,414633.58,435146.67,,,,,,
46780,1366,North Brunswick Township,City,NJ,New York-Newark-Jersey City,Middlesex County,302948.28,337511.08,358658.33,,,,,,
40043,7346,North Caldwell,City,NJ,New York-Newark-Jersey City,Essex County,683591.38,719614.08,759092.0,,,,,,
26175,13337,North Cape May,City,NJ,Ocean City,Cape May County,240023.33,297341.42,334482.0,,,,,,
26185,6059,North Haledon,City,NJ,New York-Newark-Jersey City,Passaic County,407855.34,446437.33,469570.67,,,,,,
26186,10772,North Hanover Township,City,NJ,Philadelphia-Camden-Wilmington,Burlington County,317442.53,346102.0,372872.67,,,,,,
46805,2670,North Plainfield,City,NJ,New York-Newark-Jersey City,Somerset County,242647.63,312268.92,340913.0,,,,,,
33173,12130,North Wildwood,City,NJ,Ocean City,Cape May County,296483.49,348670.0,386978.33,,,,,,
13042,6245,Northfield,City,NJ,Atlantic City-Hammonton,Atlantic County,198971.14,213973.92,234821.33,,,,,,
33185,9519,Northvale,City,NJ,New York-Newark-Jersey City,Bergen County,442430.51,492455.42,518562.67,,,,,,
56414,7837,Norwood,City,NJ,New York-Newark-Jersey City,Bergen County,541591.28,567995.42,605525.33,,,,,,
13056,2039,Nutley,City,NJ,New York-Newark-Jersey City,Essex County,357204.42,412271.17,445725.33,,,,,,
19724,4284,Oakland,City,NJ,New York-Newark-Jersey City,Bergen County,437912.16,472444.42,505643.67,,,,,,
29207,9891,Oaklyn,City,NJ,Philadelphia-Camden-Wilmington,Camden County,171227.9,198008.92,219627.0,,,,,,
15845,5492,Ocean City,City,NJ,Ocean City,Cape May County,527577.37,618488.0,678425.33,,,,,,
29739,17494,Ocean Gate,City,NJ,New York-Newark-Jersey City,Ocean County,201832.06,223054.58,245170.33,,,,,,
398003,2161,Ocean Township,City,NJ,New York-Newark-Jersey City,Monmouth County,396837.51,489848.33,533360.67,,,,,,
16319,7430,Oceanport,City,NJ,New York-Newark-Jersey City,Monmouth County,509969.38,564092.25,615565.33,,,,,,
26272,13338,Ogdensburg,City,NJ,New York-Newark-Jersey City,Sussex County,220537.68,246694.92,272505.67,,,,,,
395756,768,Old Bridge Township,City,NJ,New York-Newark-Jersey City,Middlesex County,331261.83,373902.92,402214.33,,,,,,
40146,7724,Old Tappan,City,NJ,New York-Newark-Jersey City,Bergen County,738780.98,741161.17,780999.33,,,,,,
26308,6399,Oradell,City,NJ,New York-Newark-Jersey City,Bergen County,570915.78,620257.5,653247.0,,,,,,
53733,1885,Orange,City,NJ,New York-Newark-Jersey City,Essex County,188807.29,273669.33,310755.67,,,,,,
398116,13255,Oxford Township,City,NJ,Allentown-Bethlehem-Easton,Warren County,230418.2,246160.67,274885.0,,,,,,
19819,2817,Palisades Park,City,NJ,New York-Newark-Jersey City,Bergen County,552823.3,673228.92,725197.0,,,,,,
49513,6723,Palmyra,City,NJ,Philadelphia-Camden-Wilmington,Burlington County,158775.4,174907.75,188802.33,,,,,,
46984,2159,Paramus,City,NJ,New York-Newark-Jersey City,Bergen County,572948.35,642356.75,693343.0,,,,,,
53809,5872,Park Ridge,City,NJ,New York-Newark-Jersey City,Bergen County,509436.43,544643.92,577556.33,,,,,,
19855,3333,Parlin,City,NJ,New York-Newark-Jersey City,Middlesex County,298216.62,338301.25,347989.0,,,,,,
396009,1118,Parsippany-Troy Hills Township,City,NJ,New York-Newark-Jersey City,Morris County,469676.84,511799.67,547700.33,,,,,,
19870,700,Passaic,City,NJ,New York-Newark-Jersey City,Passaic County,282889.28,363079.17,388966.33,,,,,,
19873,227,Paterson,City,NJ,New York-Newark-Jersey City,Passaic County,219900.07,318956.33,345930.0,,,,,,
56241,7660,Paulsboro,City,NJ,Philadelphia-Camden-Wilmington,Gloucester County,116290.08,106990.25,121239.67,,,,,,
42729,12841,Peapack,City,NJ,New York-Newark-Jersey City,Somerset County,543238.1,552317.92,573170.33,,,,,,
398873,6823,Pemberton Township,City,NJ,Philadelphia-Camden-Wilmington,Burlington County,174703.59,182471.42,196209.33,,,,,,
6462,12918,Pennington,City,NJ,Trenton,Mercer County,433343.04,452088.5,475898.33,,,,,,
6463,3257,Pennsauken,City,NJ,Philadelphia-Camden-Wilmington,Camden County,120860.95,151207.33,172800.67,,,,,,
6468,9274,Pequannock Township,City,NJ,New York-Newark-Jersey City,Morris County,428267.98,486388.42,533720.33,,,,,,
47071,1110,Perth Amboy,City,NJ,New York-Newark-Jersey City,Middlesex County,218916.57,304018.25,327748.67,,,,,,
53876,3920,Phillipsburg,City,NJ,Allentown-Bethlehem-Easton,Warren County,159806.79,177361.25,199373.33,,,,,,
26496,13094,Pine Beach,City,NJ,New York-Newark-Jersey City,Ocean County,260929.62,286385.75,319736.0,,,,,,
33424,5745,Pine Hill,City,NJ,Philadelphia-Camden-Wilmington,Camden County,111322.89,140223.75,159602.0,,,,,,
398893,923,Piscataway,City,NJ,New York-Newark-Jersey City,Middlesex County,310416.03,357865.0,381959.67,,,,,,
19963,5800,Pitman,City,NJ,Philadelphia-Camden-Wilmington,Gloucester County,178203.09,195310.58,213849.0,,,,,,
33445,1084,Plainfield,City,NJ,New York-Newark-Jersey City,Union County,222876.73,311311.83,335299.67,,,,,,
26551,2882,Pleasantville,City,NJ,Atlantic City-Hammonton,Atlantic County,110865.08,130332.75,144263.0,,,,,,
272632,3168,Point Pleasant,City,NJ,New York-Newark-Jersey City,Ocean County,360570.08,422409.83,467124.33,,,,,,
42863,10200,Point Pleasant Beach,City,NJ,New York-Newark-Jersey City,Ocean County,540417.58,603105.0,667414.0,,,,,,
53952,4857,Pompton Lakes,City,NJ,New York-Newark-Jersey City,Passaic County,280723.96,339255.5,359707.67,,,,,,
395489,1807,Princeton,City,NJ,Trenton,Mercer County,587275.64,655066.67,676516.33,,,,,,
47242,14194,Princeton Junction,City,NJ,Trenton,Mercer County,620570.44,650094.0,674138.0,,,,,,
20068,7751,Prospect Park,City,NJ,New York-Newark-Jersey City,Passaic County,247071.65,339091.92,363116.67,,,,,,
8854,2018,Rahway,City,NJ,New York-Newark-Jersey City,Union County,248354.68,330590.33,363496.33,,,,,,
6679,3799,Ramsey,City,NJ,New York-Newark-Jersey City,Bergen County,533409.15,573179.75,600964.0,,,,,,
13437,2262,Randolph Township,City,NJ,New York-Newark-Jersey City,Morris County,365523.58,385956.08,408011.33,,,,,,
26691,6576,Raritan,City,NJ,New York-Newark-Jersey City,Somerset County,328185.4,353247.17,376073.0,,,,,,
398735,2666,Raritan Township,City,NJ,New York-Newark-Jersey City,Hunterdon County,311009.85,334450.17,361230.0,,,,,,
49499,3611,Readington Township,City,NJ,New York-Newark-Jersey City,Hunterdon County,378254.76,403432.83,428927.0,,,,,,
40514,4565,Red Bank,City,NJ,New York-Newark-Jersey City,Monmouth County,374410.5,436960.67,484535.67,,,,,,
22330,4958,Ridgefield,City,NJ,New York-Newark-Jersey City,Bergen County,436969.97,514869.17,543026.33,,,,,,
42713,4291,Ridgefield Park,City,NJ,New York-Newark-Jersey City,Bergen County,311885.49,383022.67,423015.0,,,,,,
20176,2305,Ridgewood,City,NJ,New York-Newark-Jersey City,Bergen County,695590.88,734296.33,768695.0,,,,,,
47392,4552,Ringwood,City,NJ,New York-Newark-Jersey City,Passaic County,324026.32,367825.92,391252.67,,,,,,
26765,13255,Rio Grande,City,NJ,Ocean City,Cape May County,221875.27,257427.33,278596.67,,,,,,
43381,4756,River Edge,City,NJ,New York-Newark-Jersey City,Bergen County,457434.12,501390.83,532988.33,,,,,,
6780,5331,River Vale,City,NJ,New York-Newark-Jersey City,Bergen County,594698.77,622288.0,658634.0,,,,,,
13534,9602,Riverdale,City,NJ,New York-Newark-Jersey City,Morris County,319910.08,349319.33,371374.67,,,,,,
15742,6294,Riverside Township,City,NJ,Philadelphia-Camden-Wilmington,Burlington County,148913.95,166587.25,186821.0,,,,,,
6789,12439,Riverton,City,NJ,Philadelphia-Camden-Wilmington,Burlington County,265699.87,273746.33,298081.33,,,,,,
20206,7492,Rochelle Park,City,NJ,New York-Newark-Jersey City,Bergen County,348424.82,406586.33,438748.67,,,,,,
396484,1848,Rockaway Township,City,NJ,New York-Newark-Jersey City,Morris County,332721.68,358257.75,377183.0,,,,,,
40608,20285,Rockleigh,City,NJ,New York-Newark-Jersey City,Bergen County,1779508.63,1564137.83,1671744.33,,,,,,
29062,23568,Rocky Hill,City,NJ,New York-Newark-Jersey City,Somerset County,475192.94,509953.33,531342.67,,,,,,
396672,10577,Roebling,City,NJ,Philadelphia-Camden-Wilmington,Burlington County,150150.43,163574.92,178649.0,,,,,,
22802,24148,Roosevelt,City,NJ,New York-Newark-Jersey City,Monmouth County,278460.92,322833.17,357961.33,,,,,,
50223,7774,Roseland,City,NJ,New York-Newark-Jersey City,Essex County,491120.62,537397.67,567735.33,,,,,,
13593,2726,Roselle,City,NJ,New York-Newark-Jersey City,Union County,204323.1,305798.17,336102.33,,,,,,
29512,4221,Roselle Park,City,NJ,New York-Newark-Jersey City,Union County,275248.42,341172.92,371990.33,,,,,,
190101,12028,Rossmoor,City,NJ,New York-Newark-Jersey City,Middlesex County,115750.03,158768.75,159432.67,,,,,,
398431,2514,Roxbury Township,City,NJ,New York-Newark-Jersey City,Morris County,453739.5,507382.17,554914.33,,,,,,
9455,6994,Rumson,City,NJ,New York-Newark-Jersey City,Monmouth County,1140364.52,1274814.83,1404895.33,,,,,,
20271,6412,Runnemede,City,NJ,Philadelphia-Camden-Wilmington,Camden County,152478.83,170589.67,192300.0,,,,,,
26885,3188,Rutherford,City,NJ,New York-Newark-Jersey City,Bergen County,434043.5,520739.08,550442.33,,,,,,
6877,4065,Saddle Brook,City,NJ,New York-Newark-Jersey City,Bergen County,367137.7,431715.67,467635.33,,,,,,
9501,11304,Saddle River,City,NJ,New York-Newark-Jersey City,Bergen County,1690080.72,1678322.0,1742229.33,,,,,,
272644,18892,Sandyston Township,City,NJ,New York-Newark-Jersey City,Sussex County,217030.74,252510.08,283763.67,,,,,,
20377,1295,Sayreville,City,NJ,New York-Newark-Jersey City,Middlesex County,310755.41,355174.25,374877.33,,,,,,
20391,2392,Scotch Plains,City,NJ,New York-Newark-Jersey City,Union County,477432.55,523462.08,560199.33,,,,,,
20400,21787,Sea Bright,City,NJ,New York-Newark-Jersey City,Monmouth County,515180.29,621001.67,677877.67,,,,,,
27004,16001,Sea Girt,City,NJ,New York-Newark-Jersey City,Monmouth County,1146611.39,1387161.83,1549792.0,,,,,,
29395,14245,Seaside Heights,City,NJ,New York-Newark-Jersey City,Ocean County,366154.49,373789.17,415883.67,,,,,,
33909,23079,Seaside Park,City,NJ,New York-Newark-Jersey City,Ocean County,472236.82,507942.75,555549.0,,,,,,
33911,3125,Secaucus,City,NJ,New York-Newark-Jersey City,Hudson County,441357.75,519723.17,543349.0,,,,,,
57011,7293,Shamong Township,City,NJ,Philadelphia-Camden-Wilmington,Burlington County,322096.19,344828.33,368648.67,,,,,,
9399,28678,Shiloh,City,NJ,Vineland-Bridgeton,Cumberland County,175628.09,153500.58,167776.33,,,,,,
56726,22037,Ship Bottom,City,NJ,New York-Newark-Jersey City,Ocean County,633266.68,736161.17,837015.33,,,,,,
13829,4354,Short Hills,City,NJ,New York-Newark-Jersey City,Essex County,1380641.88,1504081.17,1565753.33,,,,,,
397046,10013,Shrewsbury,City,NJ,New York-Newark-Jersey City,Monmouth County,512326.74,581585.83,640250.67,,,,,,
16117,1302,Sicklerville,City,NJ,Philadelphia-Camden-Wilmington,Camden County,182195.45,207478.17,231316.67,,,,,,
27146,8289,Somerdale,City,NJ,Philadelphia-Camden-Wilmington,Camden County,172530.08,191813.08,213613.67,,,,,,
54456,5193,Somers Point,City,NJ,Atlantic City-Hammonton,Atlantic County,200523.14,212372.33,235135.33,,,,,,
56814,2407,Somerset,City,NJ,New York-Newark-Jersey City,Somerset County,310778.86,361073.17,383470.0,,,,,,
36497,4547,Somerville,City,NJ,New York-Newark-Jersey City,Somerset County,287793.91,332203.0,361957.33,,,,,,
54461,5886,South Amboy,City,NJ,New York-Newark-Jersey City,Middlesex County,267581.64,321911.83,343879.33,,,,,,
13908,9158,South Bound Brook,City,NJ,New York-Newark-Jersey City,Somerset County,252410.16,290630.67,311543.0,,,,,,
47755,1231,South Brunswick Township,City,NJ,New York-Newark-Jersey City,Middlesex County,325697.91,355915.67,371595.33,,,,,,
398243,13574,South Hackensack,City,NJ,New York-Newark-Jersey City,Bergen County,379487.08,448272.25,490115.33,,,,,,
397990,11394,South Harrison Township,City,NJ,Philadelphia-Camden-Wilmington,Gloucester County,239529.58,255924.58,278423.67,,,,,,
34059,3389,South Orange,City,NJ,New York-Newark-Jersey City,Essex County,569238.11,680323.33,734326.33,,,,,,
20578,2468,South Plainfield,City,NJ,New York-Newark-Jersey City,Middlesex County,325784.1,378902.25,398964.67,,,,,,
